Date,Close,High,Low,Open,Volume,Ticker
01/02/2020,72.46826172,72.52858156247073,71.22325926076245,71.47659966,135480400,AAPL
01/03/2020,71.76370239257812,72.52373073569198,71.53931440462966,71.69614448126268,146322800,AAPL
01/06/2020,72.33557129,72.37417688,70.63455422652187,70.88548689932232,118387200,AAPL
01/07/2020,71.99535369873047,72.60095990158051,71.77578859164102,72.34520436217124,108872000,AAPL
01/08/2020,73.15349578857422,73.45509501348069,71.69858142215591,71.69858142215591,132079200,AAPL
01/09/2020,74.70734405517578,74.90036463569696,73.87975745537804,74.13068273740295,170108400,AAPL
01/10/2020,74.87623596191406,75.44083626,74.37437802964394,74.94138611501243,140644800,AAPL
01/13/2020,76.47589874267578,76.50244329938738,75.07406634437707,75.19229822984673,121532000,AAPL
01/14/2020,75.44325256347656,76.62311254429632,75.32020505767588,76.41320061231343,161954400,AAPL
01/15/2020,75.11991882324219,76.12364189473249,74.68802669,75.24297366,121923600,AAPL
01/16/2020,76.06090545654297,76.17189926714461,75.30087692,75.66279597280943,108829200,AAPL
01/17/2020,76.90297699,76.90538477645106,76.00300228022495,76.30942443229468,137816400,AAPL
01/21/2020,76.38182830810547,76.97295847341564,76.24429727052916,76.53142037146344,110843200,AAPL
01/22/2020,76.65448760986328,77.20701227331683,76.56038508582297,76.86680735013732,101832400,AAPL
01/23/2020,77.02362823486328,77.10324719984139,76.15984382890906,76.70755279875391,104472000,AAPL
01/24/2020,76.80163574,78.01285552986269,76.61102297800898,77.26971830945405,146537600,AAPL
01/27/2020,74.54326629638672,75.22366854186772,73.56125746709372,74.81108286986905,161940000,AAPL
01/28/2020,76.65203857421875,76.82334485387435,75.32500212699546,75.42392754574348,162234000,AAPL
01/29/2020,78.25653839111328,79.10343121061821,77.54235362,78.28308294677784,216229200,AAPL
01/30/2020,78.14316559,78.19624735599628,76.90781612011679,77.33970834921887,126743200,AAPL
01/31/2020,74.67838287353516,77.85602816826189,74.38402173692818,77.43378925544725,199588400,AAPL
