Date,Close,High,Low,Open,Volume
2020-01-02,67.90381622314453,67.9420524872171,66.62159046238858,66.62159046238858,28132000
2020-01-03,67.57060241699219,68.158581664624,66.81994095443149,66.93495286268016,23728000
2020-01-06,69.23670196533203,69.35041810666512,67.04122344136731,67.04122344136731,34646000
2020-01-07,69.19348907470703,69.67270781341017,69.04649239035008,69.42192915117019,30054000
2020-01-08,69.73876190185547,70.0992936464338,69.06933934334683,69.1309144280784,30560000
2020-01-09,70.50899505615234,70.88144630493284,70.03423943909009,70.5457461254188,30018000
2020-01-10,71.0006332397461,71.25881518379731,70.43550030398244,70.89286546537721,36414000
2020-01-13,71.47239685058594,71.5364573682517,70.81638653642962,71.31845156114929,33046000
2020-01-14,71.05773162841797,71.60001823554667,70.93308868283479,71.46147050516532,31178000
2020-01-15,71.47090148925781,71.5799043888649,71.02445561952192,71.02445561952192,25654000
2020-01-16,72.0916519165039,72.10605681797274,71.55631394755552,71.88010218520081,23474000
2020-01-17,73.51640319824219,73.56134558132662,72.41543984206496,72.64834307701408,47924000
2020-01-21,73.71554565429688,74.08551143622914,73.06002787895284,73.45334005966713,40734000
2020-01-22,73.79251861572266,74.64984900063922,73.74186276485368,74.04330485960594,32216000
2020-01-23,73.82727813720703,74.26776808793879,73.60133106334078,73.87644879125217,27024000
2020-01-24,72.8370590209961,74.2665239390797,72.76454954658043,74.17191835980502,35692000
2020-01-27,71.20771026611328,71.4147968519321,70.57702404911723,71.06369912177992,35104000
2020-01-28,72.13436889648438,72.30520453483493,71.13669483054908,71.65962086304285,31548000
2020-01-29,72.4358139038086,72.77349940796584,71.84534923411006,72.4442552836585,21554000
2020-01-30,72.29724884033203,72.36875807813423,71.3318551861541,71.50864675414853,26788000
2020-01-31,71.22409057617188,73.0068884324344,70.94102403792905,72.94580589242007,48344000
2020-02-03,73.7920150756836,73.99363823460793,72.45367770699539,72.60315224220815,60736000
2020-02-04,71.86172485351562,72.9756003128433,70.83028543793051,72.35832643111584,78660000
2020-02-05,71.91934204101562,72.69453954452206,71.04184774666115,72.62402295669747,39724000
2020-02-06,73.309814453125,73.5963514992512,71.9858744795141,72.02361819947905,33588000
2020-02-07,73.45880889892578,73.78706035093559,72.81918117631908,72.86635893989194,23446000
2020-02-10,74.92129516601562,74.96201686466415,73.2149771862286,73.2149771862286,28398000
2020-02-11,74.92675018310547,75.96166771448218,74.77022096189218,75.07672483316374,26892000
2020-02-12,75.39752960205078,75.51795943123352,74.89298673750011,75.20931868546857,23352000
2020-02-13,75.21826171875,75.84000639352533,74.71868213211165,75.12042810921417,18590000
2020-02-14,75.52020263671875,75.52020263671875,74.85475066001621,75.26494562756126,23956000
2020-02-18,75.46705627441406,76.06099138957565,75.11546602411893,75.23514568129174,22414000
2020-02-19,75.815673828125,76.0846310031763,75.55296812288319,75.7352230948315,18986000
2020-02-20,75.39158630371094,75.96218267246351,74.8289387748253,75.58277522523915,21932000
2020-02-21,73.75080108642578,75.09683723926696,73.51889050316402,74.8890080751722,34634000
2020-02-24,70.59639739990234,71.36017558216192,70.08986913588802,70.82085930093804,57342000
2020-02-25,68.95065307617188,71.41826363554055,68.65021121542527,71.16301421993741,49566000
2020-02-26,69.185546875,70.30390084854004,68.48136608278737,69.33254357346263,44048000
2020-02-27,65.4565658569336,68.11904040245773,65.41087329449262,67.64011718123767,59566000
2020-02-28,66.51134490966797,66.60122968273528,63.11806590820636,63.440857722867264,75782000
2020-03-02,68.9834213256836,69.07082823713633,65.8898455959875,67.1211653604801,48630000
2020-03-03,66.6136474609375,70.0282760870977,66.14733327280929,69.4954235267835,48046000
2020-03-04,68.85481262207031,68.93278551165616,66.69907060737945,67.4995922737942,38266000
2020-03-05,65.50374603271484,67.48369652452459,64.81147716481703,67.0511554058777,51226000
2020-03-06,64.47925567626953,64.86709689198965,62.62395190626873,63.41901010678455,53212000
2020-03-09,60.364906311035156,62.31158374927824,59.59219431268793,59.85539256469915,67308000
2020-03-10,63.58437728881836,63.62212101344055,60.52431674969943,62.5718058305141,52228000
2020-03-11,60.357460021972656,62.619480640458136,59.39703339121399,62.060307467416756,52170000
2020-03-12,55.36661148071289,59.287779834392445,55.28666086053564,55.917343269090544,84534000
2020-03-13,60.571990966796875,60.57347995332645,55.47750501442033,58.549333478932624,74002000
2020-03-16,53.847999572753906,57.221762378640875,53.35686138802423,54.42753353768823,85048000
2020-03-17,55.60945129394531,56.15869029332871,52.44162684986951,54.284018412682315,77230000
2020-03-18,54.467262268066406,54.94896641414023,51.511487891613825,52.466454805458405,84668000
2020-03-19,55.38548278808594,57.50497742074177,52.645137610709675,54.28104124933974,73022000
2020-03-20,53.2515869140625,56.81073069227061,52.91240866884166,56.40003941808992,72036000
2020-03-23,52.471923828125,53.20192884609394,50.332363822196605,52.70532720543696,80882000
2020-03-24,56.33747100830078,56.36428792205086,54.16036801606106,54.81340040571411,66890000
2020-03-25,54.74983596801758,57.0545636659551,53.93143513973507,55.94068803641491,81630000
2020-03-26,57.69269943237305,58.10090530022894,54.30487981231966,55.212172773862456,71434000
2020-03-27,55.15803527832031,57.14245634110623,54.91966863467143,55.900952354857296,64170000
2020-03-30,56.951263427734375,57.190130187954956,54.45137270886714,55.86966446231277,51482000
2020-03-31,57.74533462524414,58.366086677430644,56.52022073924125,56.97510802494447,49728000
2020-04-01,54.905269622802734,56.10059242596996,54.499549198520704,55.71870336433194,46884000
2020-04-02,55.661094665527344,55.96004753136843,54.447400209617925,54.53976662386721,39298000
2020-04-03,54.52090072631836,55.795177659080736,53.62354197540714,55.570465724724194,46268000
2020-04-06,58.94264602661133,59.32701674937257,56.16267009275667,56.513271507957825,53294000
2020-04-07,58.922279357910156,60.83369851021976,58.70973316720613,60.63505710426919,47746000
2020-04-08,60.10270690917969,60.53921868632913,59.004225014405584,59.91499229612837,39502000
2020-04-09,60.16080093383789,60.86200368668178,59.43005335532061,60.78800901556082,43508000
2020-04-13,60.46422576904297,60.610726127767364,58.97631149130826,60.04807488064795,34796000
2020-04-14,63.0301628112793,63.667801353662334,61.426141773587794,61.83136961663061,49408000
2020-04-15,62.694461822509766,63.58784987223647,61.59846174840961,61.85718923724433,33434000
2020-04-16,62.74412536621094,63.51534838440943,61.70871143617545,63.272014649822715,50362000
2020-04-17,63.72640609741211,64.28160487051998,63.129492966991336,63.80586418111476,38980000
2020-04-20,62.900054931640625,63.64446098068002,62.63983467043894,63.118060723981344,33910000
2020-04-21,60.40364456176758,62.287254198245144,60.0743966777643,61.92622232442697,43060000
2020-04-22,62.7312126159668,63.84374694238709,61.677919492134386,61.8537184049048,41848000
2020-04-23,63.38175964355469,64.22598088095572,62.85337782412955,63.14537830328555,31324000
2020-04-24,63.53074264526367,63.584869009749326,62.047890156200104,62.6299058083651,32792000
2020-04-27,63.36040115356445,64.36701655776149,63.01874129710235,64.35956783715862,32012000
2020-04-28,61.264251708984375,63.96476934334331,61.19125348198349,63.958813397277744,59026000
2020-04-29,66.61811065673828,67.53731921132398,65.81659644188422,66.61711799909568,75872000
2020-04-30,66.97467803955078,67.18126451164983,65.67506931502436,65.79376390105523,53378000
2020-05-01,65.58170318603516,67.14400980795767,65.10446979781985,65.9735225578649,41450000
2020-05-04,65.88909149169922,65.93180607605001,64.50853975799883,64.96690505999969,30080000
2020-05-05,67.09634399414062,68.23008796278566,66.4184875690936,66.44133385242301,33030000
2020-05-06,66.90714263916016,68.09004972747793,66.9066500990387,67.62175773507504,24308000
2020-05-07,68.16156005859375,68.4118462196752,67.30293379506175,67.83280846614691,27952000
2020-05-08,68.94668579101562,69.46265563072474,68.30656553930811,68.68646549692158,27738000
2020-05-11,69.68612670898438,70.3451150522961,68.38959446055027,68.44561521374237,28242000
2020-05-12,68.31947326660156,70.26912866499187,68.27130284922856,69.87780938011281,27812000
2020-05-13,67.0079574584961,68.80327386510248,65.9685689340413,68.38453896631944,36252000
2020-05-14,67.34564208984375,67.40970261081927,65.74559153062619,66.29731219921227,32062000
2020-05-15,68.19284057617188,68.25690109642692,66.49495642044602,67.04122125427448,34154000
2020-05-18,68.72669219970703,69.14309319754263,67.25228470671571,67.62473597046618,36448000
2020-05-19,68.2074966430664,69.1269554220177,68.2074966430664,68.87851059767719,25612000
2020-05-20,69.85794067382812,70.04168842343,68.8910618188774,69.00676326589259,33108000
2020-05-21,69.66326904296875,70.29345505378288,69.19894777802982,69.9215039863047,27700000
2020-05-22,70.04168701171875,70.15788857398324,69.11850026676878,69.36084512261117,26188000
2020-05-26,70.36944580078125,71.56030166403293,70.1266083790498,71.37506870075322,41212000
2020-05-27,70.41016387939453,70.60383821218231,69.09168715665855,70.38086911158055,33716000
2020-05-28,70.35504150390625,71.55234573499438,69.32558734289624,69.36829435363889,33844000
2020-05-29,70.96040344238281,71.1416657759171,70.1871988417597,70.36547562454726,36418000
2020-06-01,71.10441589355469,71.40932849735742,70.41811058181692,70.437478772262,24342000
2020-06-02,71.4719009399414,71.4912691316603,70.45932945206445,71.04134512872544,25562000
2020-06-03,71.33086395263672,71.83600546103794,71.00296109058361,71.42621213078971,25124000
2020-06-04,70.12908935546875,71.45898541414964,69.75912357005502,71.03389302934043,29686000
2020-06-05,71.4306869506836,71.76142383132131,69.82219499499713,70.17825601372202,34698000
2020-06-08,71.8388900756836,71.90742134684552,70.63363688396181,70.63363688396181,28084000
2020-06-09,72.31314086914062,72.90112004210671,71.67004267427679,71.77681020500805,28184000
2020-06-10,72.79435729980469,73.21194794835758,72.31860903221238,72.48099571312636,30504000
2020-06-11,69.71492004394531,72.22945817301579,69.62354250078923,71.63378782991101,39826000
2020-06-12,70.17874145507812,71.3616483445136,68.82997739078206,70.9390414138141,38928000
2020-06-15,70.5099868774414,70.75580227390762,68.924341174515,69.06735966381535,30078000
2020-06-16,71.64572143554688,72.25653939969477,70.8104339884386,71.769871859502,34184000
2020-06-17,72.06285858154297,72.50384109038218,71.08256740683144,71.8662062674768,30992000
2020-06-18,71.31000518798828,72.07726138513739,70.86555217884707,71.96552298583306,31638000
2020-06-19,71.09945678710938,71.89799316545846,70.58447955372054,71.7092820955755,63158000
2020-06-22,72.099609375,72.14380158720957,70.67684292152231,70.96437266985775,30848000
2020-06-23,72.72283172607422,73.29546635042593,71.77085034289895,72.28731267043554,28596000
2020-06-24,71.11186218261719,73.26959673401689,71.00161656714448,72.57882069771837,35120000
2020-06-25,71.5766830444336,71.6546483512698,70.51743391312633,71.00907227184344,24610000
2020-06-26,67.5328598022461,71.1853627454788,67.14004772285006,71.08306595981846,85354000
2020-06-29,69.27442932128906,69.30571697957973,66.89273305649421,67.44743163965026,36204000
2020-06-30,70.2000961303711,70.45038982710655,68.72767418167281,69.04947711567303,40848000
2020-07-01,71.41329956054688,71.65961505445209,70.01188670171123,70.07545467926525,35504000
2020-07-02,72.73724365234375,73.64354014024406,71.82945438911075,71.85527864461241,37182000
2020-07-06,74.27670288085938,74.81749667361257,73.14245897787399,73.50001272612043,31280000
2020-07-07,73.7542953491211,75.32454364983981,73.67334448147749,73.99365470577429,29164000
2020-07-08,74.29161071777344,74.78224884952299,73.77663352782716,74.20818200334445,24994000
2020-07-09,75.03600311279297,75.61851883856808,73.89853874777877,74.81054859775554,28466000
2020-07-10,76.56305694580078,76.66684650358317,74.31842305623277,74.79565649049827,37126000
2020-07-13,75.05339050292969,78.32062845929656,74.75061476268897,76.9732510304685,36928000
2020-07-14,75.51226043701172,75.62995479712686,73.67086503600093,74.00905067158803,31700000
2020-07-15,75.1676025390625,76.24473454373101,74.3909199532047,75.63887999564545,32214000
2020-07-16,75.3841323852539,75.41839802052624,73.81039859580217,74.49024789500587,30386000
2020-07-17,75.262451171875,75.65427055818434,74.41177391177511,75.56389325060115,29134000
2020-07-20,77.75391387939453,77.98086118912214,74.66902175040603,75.24805943564259,31146000
2020-07-21,77.3913803100586,78.81017592050215,77.1857865305035,78.81017592050215,24324000
2020-07-22,77.89146423339844,77.96645156030748,76.7795740339241,77.49468155363509,18640000
2020-07-23,75.26890563964844,78.05931158247867,74.85732404036652,77.81598165545643,32552000
2020-07-24,75.07970428466797,75.36604433054607,73.91418026972542,74.43710624003472,30880000
2020-07-27,75.98998260498047,76.52482049278846,75.24557270925112,75.2649409000255,24920000
2020-07-28,74.50712585449219,75.80524170279428,74.37404153040482,75.7406886448372,34044000
2020-07-29,75.58374786376953,76.04221166843169,74.55627912454403,74.804087362216,22130000
2020-07-30,76.05204772949219,76.37086508107689,74.1038777561661,74.34125172478667,33428000
2020-07-31,73.64402770996094,74.93469468226937,72.20735672643626,74.73903506146729,68798000
2020-08-03,73.22142028808594,74.0169708911525,72.78390837510678,73.82677467694734,46604000
2020-08-04,72.75064849853516,73.77315413869968,72.43680195599123,73.32670822757262,38070000
2020-08-05,73.17971801757812,73.61672993040291,72.67566760439335,72.96568281003115,39590000
2020-08-06,74.49520874023438,74.60893245480757,72.80180291922724,73.08734734461783,39908000
2020-08-07,74.21662139892578,75.32676885402968,73.57848646985086,74.49024635782685,31556000
2020-08-10,74.29656982421875,74.69260992541598,73.15339190731413,73.85360202098929,25786000
2020-08-11,73.51293182373047,74.98684662304764,73.39772291210686,74.11481579178248,29088000
2020-08-12,74.81900024414062,75.10534032357577,73.75775819732756,73.77414841622821,28740000
2020-08-13,75.4064712524414,76.34008469384933,74.8877735437597,75.0037250475616,29104000
2020-08-14,74.87411499023438,75.57780319699117,74.63326289685403,75.26791971865897,27096000
2020-08-17,75.38313293457031,75.76204020386658,74.88603120910088,75.21875337707803,27566000
2020-08-18,77.40032958984375,77.59251114525708,75.66768730796404,75.79034493896614,40542000
2020-08-19,76.85059356689453,78.14920195520233,76.67280933802655,77.13762318096366,33212000
2020-08-20,78.54995727539062,78.75455840157392,76.38725949298082,76.64797229426455,34138000
2020-08-21,78.4839096069336,79.34302820770624,77.86737832885545,78.31555943050128,28930000
2020-08-24,78.87026977539062,80.1599441916389,78.49136251198364,79.15729937763432,28198000
2020-08-25,79.86446380615234,80.03330652773612,78.56584792351784,78.56584792351784,44942000
2020-08-26,82.05746459960938,82.39713539106306,79.63503884299774,79.85354477576797,79868000
2020-08-27,81.16110229492188,82.18757864182183,80.73501720167734,82.12202534035183,37232000
2020-08-28,81.66165924072266,81.7987217645733,80.9833028021912,81.1193726684443,29980000
2020-08-31,81.15364837646484,81.83821090436959,80.96146681070046,81.83449033230153,36468000
2020-09-01,82.47112274169922,82.72041619584756,81.05630528794843,81.27530374134646,36506000
2020-09-02,85.82666015625,86.06999008318721,82.75020970106817,83.11993297570446,50224000
2020-09-03,81.53404998779297,84.90468375126595,80.20414625325805,84.90468375126595,62156000
2020-09-04,79.01131439208984,81.69643848183921,76.85472372878253,80.66102066120379,52172000
2020-09-08,76.0987319946289,77.66178886886009,75.88121873526735,76.15435113149405,52218000
2020-09-09,77.31888580322266,77.91679155012265,76.28054315583707,77.34719549044677,35494000
2020-09-10,76.08036041259766,78.66571837375648,75.77172722974485,77.50163402685257,32372000
2020-09-11,75.51921081542969,78.22469569220368,74.35914248627901,76.27801809213614,31942000
2020-09-14,75.44769287109375,77.6684955246879,75.27190152356143,76.42724145058008,33932000
